"","ACCIDENT_NO","ACCIDENTDATE","ACCIDENTTIME","ACCIDENT_TYPE","Accident Type Desc","DAY_OF_WEEK","Day Week Description","ROAD_GEOMETRY","Road Geometry Desc","SPEED_ZONE","SEVERITY","VEHICLE_TYPE","Vehicle Type Desc","LGA_NAME","LGA_NAME_ALL","Lat","Long","POSTCODE_NO","ROAD_NAME","ROAD_TYPE","ROAD_TYPE_INT","DISTANCE_LOCATION","YEAR","sev_desc"
"317256","T20170009762",2017-05-18,17:40:00,2,"Struck Pedestrian",4,"Thursday",2,"T intersection","060",3,"13","Bicycle","BOROONDARA","BOROONDARA",-37.81913756,145.0386205,3122,"LIDDIARD","STREET","STREET",2,2017,"Other injury accident"
"317312","T20170009800",2017-05-17,17:45:00,1,"Collision with vehicle",4,"Wednesday",1,"Cross intersection","040",3,"13","Bicycle","STONNINGTON","STONNINGTON",-37.84810253,145.0031863,3142,"MALVERN","ROAD","ROAD",0,2017,"Other injury accident"
"317313","T20170009800",2017-05-17,17:45:00,1,"Collision with vehicle",4,"Wednesday",1,"Cross intersection","040",3,"13","Bicycle","STONNINGTON","STONNINGTON",-37.84810253,145.0031863,3141,"MALVERN","ROAD","ROAD",0,2017,"Other injury accident"
"317314","T20170009800",2017-05-17,17:45:00,1,"Collision with vehicle",4,"Wednesday",1,"Cross intersection","040",3,"13","Bicycle","STONNINGTON","STONNINGTON",-37.84810253,145.0031863,3181,"MALVERN","ROAD","ROAD",0,2017,"Other injury accident"
"317327","T20170009811",2017-05-19,16:00:00,1,"Collision with vehicle",5,"Friday",1,"Cross intersection","050",3,"13","Bicycle","YARRA","YARRA",-37.81100495,144.9917555,3121,"ELIZABETH","STREET","STREET",0,2017,"Other injury accident"
"317361","T20170009851",2017-05-20,10:40:00,1,"Collision with vehicle",7,"Saturday",5,"Not at intersection","040",2,"13","Bicycle","YARRA","YARRA",-37.80583986,144.9980515,3067,"VICTORIA","CRESCENT","STREET",37,2017,"Serious injury accident"
"317371","T20170009861",2017-05-20,12:22:00,1,"Collision with vehicle",6,"Saturday",2,"T intersection","999",2,"13","Bicycle","MELBOURNE","MELBOURNE",-37.82210793,144.9634818,3006,"WATERFALL","LANE","BOULEVARD",0,2017,"Serious injury accident"
"317385","T20170009873",2017-05-07,11:00:00,1,"Collision with vehicle",0,"Sunday",2,"T intersection","060",3,"13","Bicycle","MOONEE VALLEY","MOONEE VALLEY",-37.76216554,144.9217556,3039,"MT ALEXANDER","ROAD","STREET",0,2017,"Other injury accident"
"317401","T20170009882",2017-05-19,09:10:00,1,"Collision with vehicle",6,"Friday",2,"T intersection","050",3,"13","Bicycle","YARRA","YARRA",-37.82650801,145.0054374,3121,"SWAN","STREET","STREET",0,2017,"Other injury accident"
"317415","T20170009893",2017-05-20,12:55:00,1,"Collision with vehicle",7,"Saturday",5,"Not at intersection","060",3,"13","Bicycle","YARRA","YARRA",-37.78569144,144.9950682,3068,"HODDLE MAIN","ROAD","PARADE",34,2017,"Other injury accident"
"317436","T20170009912",2017-05-20,07:39:00,1,"Collision with vehicle",7,"Saturday",2,"T intersection","060",3,"13","Bicycle","WYNDHAM","WYNDHAM",-37.88656823,144.7659081,3030,"ROSEBANK","DRIVE","BOULEVARD",0,2017,"Other injury accident"
"317451","T20170009921",2017-05-21,10:00:00,1,"Collision with vehicle",1,"Sunday",2,"T intersection","040",3,"13","Bicycle","MOONEE VALLEY","MOONEE VALLEY",-37.77647063,144.9290409,3032,"MT ALEXANDER","ROAD","STREET",0,2017,"Other injury accident"
"317483","T20170009955",2017-05-21,18:01:00,1,"Collision with vehicle",1,"Sunday",2,"T intersection","100",2,"13","Bicycle","MACEDON RANGES","MACEDON RANGES",-37.45461392,144.5926548,3438,"HAMILTON","ROAD","ROAD",0,2017,"Serious injury accident"
"317492","T20170009964",2017-05-21,18:02:00,1,"Collision with vehicle",1,"Sunday",2,"T intersection","050",2,"13","Bicycle","DAREBIN","DAREBIN",-37.74100627,145.0308542,3072,"MURRAY","ROAD","DRIVE",0,2017,"Serious injury accident"
"317523","T20170010000",2017-04-15,19:00:00,1,"Collision with vehicle",7,"Saturday",5,"Not at intersection","060",3,"13","Bicycle","MELBOURNE","PORT PHILLIP,MELBOURNE",-37.84437925,144.9785133,3004,"ST KILDA","ROAD","STREET",38,2017,"Other injury accident"
"317532","T20170010008",2017-05-21,16:45:00,1,"Collision with vehicle",0,"Sunday",2,"T intersection","060",3,"13","Bicycle","PORT PHILLIP","PORT PHILLIP",-37.88936515,144.9877232,3184,"ORMOND","ESPLANADE","STREET",0,2017,"Other injury accident"
"317536","T20170010011",2017-05-22,13:50:00,1,"Collision with vehicle",2,"Monday",1,"Cross intersection","050",2,"13","Bicycle","YARRA","YARRA",-37.78588179,144.9709817,3054,"DRUMMOND","STREET","STREET",0,2017,"Serious injury accident"
"317560","T20170010033",2017-05-22,10:15:00,6,"Vehicle overturned (no collision)",2,"Monday",1,"Cross intersection","999",3,"13","Bicycle","YARRA","YARRA",-37.80543484,144.9967092,3067,"GIPPS","STREET","STREET",0,2017,"Other injury accident"
"317599","T20170010058",2017-05-23,08:30:00,1,"Collision with vehicle",2,"Tuesday",1,"Cross intersection","050",2,"13","Bicycle","YARRA","YARRA",-37.80480728,144.9902558,3066,"CROMWELL","STREET","STREET",0,2017,"Serious injury accident"
"317633","T20170010092",2017-05-23,08:15:00,1,"Collision with vehicle",3,"Tuesday",2,"T intersection","050",3,"13","Bicycle","WYNDHAM","WYNDHAM",-37.86849046,144.7104345,3029,"BELLBRIDGE","DRIVE","STREET",0,2017,"Other injury accident"
"317639","T20170010097",2017-05-13,12:30:00,1,"Collision with vehicle",7,"Saturday",5,"Not at intersection","040",3,"13","Bicycle","MELBOURNE","MELBOURNE",-37.8189577,144.954539,3000,"COLLINS","STREET","STREET",37,2017,"Other injury accident"
"317641","T20170010098",2017-05-23,10:39:00,1,"Collision with vehicle",3,"Tuesday",5,"Not at intersection","050",3,"13","Bicycle","MELBOURNE","MELBOURNE,MORELAND",-37.77779698,144.9581706,3056,"PARK","STREET",NA,154,2017,"Other injury accident"
"317642","T20170010098",2017-05-23,10:39:00,1,"Collision with vehicle",3,"Tuesday",5,"Not at intersection","050",3,"13","Bicycle","MELBOURNE","MELBOURNE,MORELAND",-37.77779698,144.9581706,3052,"PARK","STREET",NA,154,2017,"Other injury accident"
"317649","T20170010105",2017-05-23,17:50:00,1,"Collision with vehicle",3,"Tuesday",1,"Cross intersection","060",2,"13","Bicycle","PORT PHILLIP","PORT PHILLIP",-37.85827376,144.9698795,3182,"BEACONSFIELD","PARADE","STREET",0,2017,"Serious injury accident"
"317672","T20170010129",2017-05-24,08:45:00,1,"Collision with vehicle",4,"Wednesday",2,"T intersection","040",3,"13","Bicycle","HUME","HUME",-37.59092953,144.9171359,3064,"LYGON","DRIVE","AVENUE",0,2017,"Other injury accident"
"317676","T20170010131",2017-05-24,08:50:00,2,"Struck Pedestrian",3,"Wednesday",5,"Not at intersection","060",3,"13","Bicycle","MORELAND","MORELAND",-37.77217999,144.9494599,3055,"GRANTHAM","STREET","CRESCENT",63,2017,"Other injury accident"
"317705","T20170010150",2017-05-20,16:30:00,1,"Collision with vehicle",7,"Saturday",5,"Not at intersection","080",2,"13","Bicycle","MOYNE","MOYNE",-38.34468898,142.4230898,3282,"PRINCES","HIGHWAY","LANE",273,2017,"Serious injury accident"
"317715","T20170010163",2017-05-24,12:28:00,1,"Collision with vehicle",4,"Wednesday",1,"Cross intersection","060",3,"13","Bicycle","YARRA","YARRA",-37.80811455,144.976818,3065,"VICTORIA","PARADE","STREET",0,2017,"Other injury accident"
"317717","T20170010168",2017-05-24,18:13:00,1,"Collision with vehicle",3,"Wednesday",5,"Not at intersection","050",2,"13","Bicycle","BOROONDARA","BOROONDARA",-37.83646002,145.0424603,3122,"AUBURN","ROAD","STREET",40,2017,"Serious injury accident"
"317750","T20170010195",2017-05-24,07:00:00,1,"Collision with vehicle",4,"Wednesday",1,"Cross intersection","040",2,"13","Bicycle","MORELAND","MORELAND",-37.76655949,144.9725922,3057,"BLYTH","STREET","STREET",0,2017,"Serious injury accident"
"317763","T20170010213",2017-05-24,11:00:00,1,"Collision with vehicle",4,"Wednesday",1,"Cross intersection","060",3,"13","Bicycle","MORELAND","MORELAND",-37.72017442,144.9404017,3044,"CUMBERLAND","ROAD","ROAD",0,2017,"Other injury accident"
"317769","T20170010221",2017-05-25,15:30:00,1,"Collision with vehicle",4,"Thursday",1,"Cross intersection","040",3,"13","Bicycle","MELBOURNE","MELBOURNE",-37.80940402,144.97214,3002,"LONSDALE","STREET","STREET",0,2017,"Other injury accident"
"317770","T20170010221",2017-05-25,15:30:00,1,"Collision with vehicle",4,"Thursday",1,"Cross intersection","040",3,"13","Bicycle","MELBOURNE","MELBOURNE",-37.80940402,144.97214,3002,"LONSDALE","STREET","STREET",0,2017,"Other injury accident"
"317771","T20170010221",2017-05-25,15:30:00,1,"Collision with vehicle",4,"Thursday",1,"Cross intersection","040",3,"13","Bicycle","MELBOURNE","MELBOURNE",-37.80940402,144.97214,3000,"LONSDALE","STREET","STREET",0,2017,"Other injury accident"
"317772","T20170010221",2017-05-25,15:30:00,1,"Collision with vehicle",4,"Thursday",1,"Cross intersection","040",3,"13","Bicycle","MELBOURNE","MELBOURNE",-37.80940402,144.97214,3000,"LONSDALE","STREET","STREET",0,2017,"Other injury accident"
"317778","T20170010225",2017-05-25,17:05:00,1,"Collision with vehicle",5,"Thursday",5,"Not at intersection","999",3,"13","Bicycle","BOROONDARA","BOROONDARA",-37.84674216,145.0459819,3146,"CRESCENT","ROAD","ROAD",141,2017,"Other injury accident"
"317801","T20170010245",2017-05-18,08:30:00,8,"No collision and no object struck",5,"Thursday",2,"T intersection","070",3,"13","Bicycle","MAROONDAH","MAROONDAH",-37.82641178,145.2568478,3135,"CANTERBURY","ROAD","ROAD",0,2017,"Other injury accident"
"317809","T20170010251",2017-05-26,08:05:00,1,"Collision with vehicle",5,"Friday",1,"Cross intersection","060",3,"13","Bicycle","YARRA","YARRA",-37.77906526,144.987487,3068,"ST GEORGES","ROAD","STREET",0,2017,"Other injury accident"
"317832","T20170010263",2017-05-23,16:55:00,1,"Collision with vehicle",3,"Tuesday",5,"Not at intersection","040",3,"13","Bicycle","STONNINGTON","STONNINGTON",-37.84076052,144.9953642,3141,"CHAPEL","STREET","STREET",35,2017,"Other injury accident"
"317846","T20170010274",2017-05-26,12:29:00,1,"Collision with vehicle",6,"Friday",2,"T intersection","060",2,"13","Bicycle","BOROONDARA","BOROONDARA",-37.86197457,145.067428,3146,"HIGH","STREET","ROAD",0,2017,"Serious injury accident"
"317874","T20170010295",2017-05-26,16:10:00,1,"Collision with vehicle",6,"Friday",5,"Not at intersection","060",2,"13","Bicycle","HUME","HUME",-37.67585702,144.9284706,3047,"RIGGALL","STREET","STREET",39,2017,"Serious injury accident"
"317928","T20170010339",2017-05-22,10:45:00,1,"Collision with vehicle",2,"Monday",5,"Not at intersection","050",3,"13","Bicycle","HOBSONS BAY","HOBSONS BAY",-37.86535196,144.8386496,3018,"CIVIC","PARADE","ROAD",35,2017,"Other injury accident"
"317935","T20170010344",2017-05-27,08:20:00,1,"Collision with vehicle",7,"Saturday",1,"Cross intersection","100",2,"13","Bicycle","BALLARAT","BALLARAT",-37.5464564,143.7374477,3352,"CUTHBERTS","ROAD","ROAD",0,2017,"Serious injury accident"
"317943","T20170010355",2017-05-27,06:25:00,8,"No collision and no object struck",7,"Saturday",1,"Cross intersection","060",3,"13","Bicycle","DAREBIN","DAREBIN,YARRA",-37.78339885,145.0173837,3078,"HEIDELBERG","ROAD","STREET",0,2017,"Other injury accident"
"317983","T20170010392",2017-05-27,15:30:00,1,"Collision with vehicle",6,"Saturday",5,"Not at intersection","888",3,"13","Bicycle","WHITEHORSE","WHITEHORSE",-37.81234033,145.1694699,3131,"SPRINGFIELD","ROAD","AVENUE",23,2017,"Other injury accident"
"317993","T20170010403",2017-05-28,12:15:00,6,"Vehicle overturned (no collision)",0,"Sunday",5,"Not at intersection","060",3,"13","Bicycle","WHITEHORSE","WHITEHORSE",-37.8155589,145.1038502,3127,"MAROONDAH","HIGHWAY","STREET",31,2017,"Other injury accident"
"318027","T20170010436",2017-05-24,17:30:00,1,"Collision with vehicle",4,"Wednesday",2,"T intersection","060",3,"13","Bicycle","MONASH","MONASH",-37.87351164,145.1106792,3149,"HUNTINGDALE","ROAD","PARADE",0,2017,"Other injury accident"
"318028","T20170010436",2017-05-24,17:30:00,1,"Collision with vehicle",4,"Wednesday",2,"T intersection","060",3,"13","Bicycle","MONASH","MONASH",-37.87351164,145.1106792,3148,"HUNTINGDALE","ROAD","PARADE",0,2017,"Other injury accident"
"318067","T20170010476",2017-05-18,18:10:00,1,"Collision with vehicle",4,"Thursday",2,"T intersection","050",2,"13","Bicycle","MELBOURNE","MELBOURNE",-37.82542802,144.9692916,3006,"GRANT","STREET","STREET",0,2017,"Serious injury accident"
"318088","T20170010498",2017-05-29,10:10:00,1,"Collision with vehicle",1,"Monday",5,"Not at intersection","050",3,"13","Bicycle","MELBOURNE","MELBOURNE",-37.81656445,144.962862,3000,"COLLINS","STREET","STREET",113,2017,"Other injury accident"
"318124","T20170010525",2017-05-16,17:30:00,1,"Collision with vehicle",3,"Tuesday",5,"Not at intersection","040",2,"13","Bicycle","YARRA","YARRA",-37.80705129,144.976993,3065,"BRUNSWICK","STREET","PARADE",119,2017,"Serious injury accident"
"318147","T20170010553",2017-05-14,17:45:00,1,"Collision with vehicle",1,"Sunday",1,"Cross intersection","060",3,"13","Bicycle","YARRA","YARRA",-37.78808081,144.9766517,3054,"NICHOLSON","STREET","STREET",0,2017,"Other injury accident"
"318148","T20170010553",2017-05-14,17:45:00,1,"Collision with vehicle",1,"Sunday",1,"Cross intersection","060",3,"13","Bicycle","YARRA","YARRA",-37.78808081,144.9766517,3068,"NICHOLSON","STREET","STREET",0,2017,"Other injury accident"
"318186","T20170010578",2017-01-26,15:30:00,1,"Collision with vehicle",4,"Thursday",5,"Not at intersection","060",3,"13","Bicycle","BALLARAT","BALLARAT",-37.56120598,143.8500008,3350,"BALLARAT-BURRUMBEET","ROAD","STREET",35,2017,"Other injury accident"
"318255","T20170010629",2016-12-22,13:30:00,1,"Collision with vehicle",5,"Thursday",2,"T intersection","050",3,"13","Bicycle","COLAC OTWAY","COLAC OTWAY",-38.7597464,143.6717986,3233,"NELSON STREET -SYLVESTER","STREET","STREET",0,2016,"Other injury accident"
"318267","T20170010637",2017-05-31,08:24:00,1,"Collision with vehicle",4,"Wednesday",2,"T intersection","060",3,"13","Bicycle","WHITEHORSE","WHITEHORSE",-37.84073764,145.1553904,3130,"BLACKBURN","ROAD","STREET",0,2017,"Other injury accident"
"318269","T20170010638",2017-05-31,13:00:00,1,"Collision with vehicle",4,"Wednesday",1,"Cross intersection","060",3,"13","Bicycle","PORT PHILLIP","PORT PHILLIP",-37.84780291,144.9526215,3206,"DANKS","STREET","ROAD",0,2017,"Other injury accident"
"318271","T20170010640",2017-05-30,18:00:00,1,"Collision with vehicle",2,"Tuesday",2,"T intersection","999",3,"13","Bicycle","PORT PHILLIP","PORT PHILLIP",-37.83082777,144.9438049,3207,"INGLES","STREET","STREET",0,2017,"Other injury accident"
"318341","T20170010690",2017-05-31,17:00:00,1,"Collision with vehicle",4,"Wednesday",1,"Cross intersection","040",2,"13","Bicycle","YARRA","YARRA",-37.83021061,144.9951104,3121,"BALMAIN","STREET","STREET",0,2017,"Serious injury accident"
"318349","T20170010695",2017-06-01,07:45:00,1,"Collision with vehicle",5,"Thursday",2,"T intersection","050",3,"13","Bicycle","FRANKSTON","FRANKSTON",-38.12323311,145.1880214,3977,"ALTER","COURT","DRIVE",0,2017,"Other injury accident"
"318361","T20170010708",2017-05-22,08:20:00,1,"Collision with vehicle",1,"Monday",1,"Cross intersection","050",2,"13","Bicycle","MORELAND","MORELAND",-37.7768112,144.9669616,3056,"BARKLY","STREET","STREET",0,2017,"Serious injury accident"
"318366","T20170010712",2017-05-31,07:00:00,1,"Collision with vehicle",4,"Wednesday",2,"T intersection","050",2,"13","Bicycle","MARIBYRNONG","MARIBYRNONG",-37.80695736,144.900231,3011,"HYDE","STREET","STREET",0,2017,"Serious injury accident"
"318371","T20170010717",2017-06-01,14:30:00,1,"Collision with vehicle",5,"Thursday",5,"Not at intersection","040",2,"13","Bicycle","GEELONG","GEELONG",-38.11494804,144.6523704,3223,"PORTARLINGTON-ST LEONARDS","ROAD","WALK",1,2017,"Serious injury accident"
"318385","T20170010730",2017-06-01,20:10:00,8,"No collision and no object struck",4,"Thursday",5,"Not at intersection","050",3,"13","Bicycle","MONASH","MONASH",-37.91725973,145.0882475,3167,"GOLF","ROAD","STREET",38,2017,"Other injury accident"
"318423","T20170010761",2017-06-02,08:20:00,1,"Collision with vehicle",6,"Friday",2,"T intersection","050",2,"13","Bicycle","DAREBIN","DAREBIN",-37.75735993,144.9806826,3071,"NORMANBY","AVENUE","ROAD",0,2017,"Serious injury accident"
"318438","T20170010775",2017-05-22,05:45:00,1,"Collision with vehicle",2,"Monday",2,"T intersection","060",3,"13","Bicycle","WYNDHAM","WYNDHAM",-37.90159653,144.6278683,3024,"BLACK FOREST","ROAD","ROAD",0,2017,"Other injury accident"
"318484","T20170010805",2017-05-29,12:20:00,1,"Collision with vehicle",1,"Monday",5,"Not at intersection","060",3,"13","Bicycle","ALPINE","ALPINE",-36.76321846,146.9821767,3744,"MORSES CREEK","ROAD","ROAD",194,2017,"Other injury accident"
"318496","T20170010826",2017-06-01,14:30:00,1,"Collision with vehicle",5,"Thursday",5,"Not at intersection","050",3,"13","Bicycle","MELBOURNE","MELBOURNE",-37.8226933,144.9696244,3006,"ST KILDA","ROAD","BOULEVARD",80,2017,"Other injury accident"
"318514","T20170010840",2017-05-29,18:00:00,1,"Collision with vehicle",2,"Monday",2,"T intersection","040",3,"13","Bicycle","GLEN EIRA","GLEN EIRA",-37.87740751,145.0019546,3183,"GLEN EIRA","ROAD","STREET",0,2017,"Other injury accident"
"318515","T20170010840",2017-05-29,18:00:00,1,"Collision with vehicle",2,"Monday",2,"T intersection","040",3,"13","Bicycle","GLEN EIRA","GLEN EIRA",-37.87740751,145.0019546,3185,"GLEN EIRA","ROAD","STREET",0,2017,"Other injury accident"
"318613","T20170010946",2017-06-05,05:30:00,1,"Collision with vehicle",2,"Monday",5,"Not at intersection","060",2,"13","Bicycle","KINGSTON","KINGSTON",-37.96588071,145.0577485,3192,"NEPEAN","HIGHWAY","ROAD",35,2017,"Serious injury accident"
"318623","T20170010956",2017-03-16,14:00:00,1,"Collision with vehicle",5,"Thursday",2,"T intersection","050",3,"13","Bicycle","DAREBIN","DAREBIN",-37.78006536,144.9994726,3070,"PLANT","STREET","CRESCENT",0,2017,"Other injury accident"
"318674","T20170011001",2017-06-05,17:50:00,8,"No collision and no object struck",1,"Monday",1,"Cross intersection","040",3,"13","Bicycle","MELBOURNE","MELBOURNE",-37.81648513,144.9669886,3000,"FLINDERS","LANE","STREET",0,2017,"Other injury accident"
"318702","T20170011031",2017-06-06,08:22:00,1,"Collision with vehicle",3,"Tuesday",1,"Cross intersection","040",3,"13","Bicycle","STONNINGTON","STONNINGTON",-37.86827977,145.0439122,3145,"CENTRAL PARK","ROAD","STREET",0,2017,"Other injury accident"
"318715","T20170011051",2017-05-31,09:30:00,2,"Struck Pedestrian",3,"Wednesday",5,"Not at intersection","888",3,"13","Bicycle","MONASH","MONASH",-37.90050084,145.087969,3166,"HAUGHTON","ROAD","STREET",47,2017,"Other injury accident"
"318752","T20170011078",2017-06-06,10:20:00,1,"Collision with vehicle",2,"Tuesday",5,"Not at intersection","060",3,"13","Bicycle","GLEN EIRA","GLEN EIRA",-37.88620042,145.0221035,3162,"HAWTHORN","ROAD","STREET",13,2017,"Other injury accident"
"318792","T20170011111",2017-05-31,09:50:00,1,"Collision with vehicle",4,"Wednesday",2,"T intersection","999",3,"13","Bicycle","GLEN EIRA","GLEN EIRA,MONASH",-37.89385039,145.0768933,3166,"POATH","ROAD","ROAD",7,2017,"Other injury accident"
"318793","T20170011111",2017-05-31,09:50:00,1,"Collision with vehicle",4,"Wednesday",2,"T intersection","999",3,"13","Bicycle","GLEN EIRA","GLEN EIRA,MONASH",-37.89385039,145.0768933,3163,"POATH","ROAD","ROAD",7,2017,"Other injury accident"
"318813","T20170011122",2017-06-07,08:22:00,1,"Collision with vehicle",4,"Wednesday",1,"Cross intersection","040",3,"13","Bicycle","MILDURA","MILDURA",-34.19802392,142.146737,3500,"DEAKIN","AVENUE","STREET",0,2017,"Other injury accident"
"318815","T20170011125",2017-05-24,15:00:00,1,"Collision with vehicle",4,"Wednesday",4,"Multiple intersection","999",3,"13","Bicycle","CASEY","CASEY",-38.04573719,145.3410657,3806,"PRINCES IN-CLYDE","RAMP","ROAD",0,2017,"Other injury accident"
"318827","T20170011141",2017-06-07,12:55:00,6,"Vehicle overturned (no collision)",4,"Wednesday",5,"Not at intersection","060",3,"13","Bicycle","BANYULE","BANYULE",-37.69985014,145.11426,3088,"KARINGAL","DRIVE","DRIVE",44,2017,"Other injury accident"
"318881","T20170011181",2017-06-07,17:52:00,1,"Collision with vehicle",4,"Wednesday",2,"T intersection","999",3,"13","Bicycle","MELBOURNE","MELBOURNE,MORELAND",-37.77742929,144.9551252,3056,"DOLLMAN","STREET","STREET",0,2017,"Other injury accident"
"318882","T20170011181",2017-06-07,17:52:00,1,"Collision with vehicle",4,"Wednesday",2,"T intersection","999",3,"13","Bicycle","MELBOURNE","MELBOURNE,MORELAND",-37.77742929,144.9551252,3052,"DOLLMAN","STREET","STREET",0,2017,"Other injury accident"
"318904","T20170011204",2017-06-08,06:30:00,1,"Collision with vehicle",4,"Thursday",2,"T intersection","070",3,"13","Bicycle","GEELONG","GEELONG",-38.2022886,144.3062974,3216,"PRINCES","HIGHWAY","ROAD",0,2017,"Other injury accident"
"318929","T20170011227",2017-06-08,14:00:00,1,"Collision with vehicle",4,"Thursday",4,"Multiple intersection","060",3,"13","Bicycle","GLENELG","GLENELG",-38.34206664,141.601277,3305,"HURD","STREET","STREET",0,2017,"Other injury accident"
"318932","T20170011228",2017-06-04,06:30:00,6,"Vehicle overturned (no collision)",0,"Sunday",2,"T intersection","050",3,"13","Bicycle","WHITEHORSE","WHITEHORSE",-37.83168004,145.1766103,3131,"SHADY","GROVE","STREET",11,2017,"Other injury accident"
"318993","T20170011270",2017-06-06,17:30:00,1,"Collision with vehicle",3,"Tuesday",2,"T intersection","060",3,"13","Bicycle","YARRA","YARRA",-37.80911899,144.9864602,3066,"VICTORIA","PARADE","STREET",1,2017,"Other injury accident"
"318999","T20170011274",2017-06-09,07:55:00,1,"Collision with vehicle",6,"Friday",1,"Cross intersection","050",3,"13","Bicycle","BAYSIDE","BAYSIDE",-37.90213651,145.0174513,3187,"NORTHERN","AVENUE","STREET",0,2017,"Other injury accident"
"319008","T20170011282",2017-06-09,09:40:00,1,"Collision with vehicle",5,"Friday",1,"Cross intersection","050",3,"13","Bicycle","COLAC OTWAY","COLAC OTWAY",-38.34044457,143.5813164,3250,"CONNOR","STREET","STREET",0,2017,"Other injury accident"
"319012","T20170011286",2017-06-09,09:50:00,1,"Collision with vehicle",6,"Friday",2,"T intersection","060",3,"13","Bicycle","FRANKSTON","KINGSTON,FRANKSTON",-38.08238865,145.123947,3197,"NEPEAN","HIGHWAY","ROAD",0,2017,"Other injury accident"
"319043","T20170011313",2017-06-02,17:30:00,1,"Collision with vehicle",5,"Friday",2,"T intersection","040",3,"13","Bicycle","MELBOURNE","MELBOURNE,MOONEE VALLEY",-37.78875038,144.9360519,3031,"RACECOURSE","ROAD","STREET",0,2017,"Other injury accident"
"319058","T20170011331",2017-06-09,06:15:00,1,"Collision with vehicle",6,"Friday",1,"Cross intersection","040",3,"13","Bicycle","MORELAND","MORELAND",-37.76994615,144.9719808,3057,"ALBERT","STREET","STREET",0,2017,"Other injury accident"
"319065","T20170011335",2017-06-09,17:40:00,1,"Collision with vehicle",6,"Friday",2,"T intersection","060",2,"13","Bicycle","PORT PHILLIP","PORT PHILLIP",-37.85237559,144.9580478,3206,"BEACONSFIELD","PARADE","STREET",0,2017,"Serious injury accident"
"319087","T20170011364",2017-06-10,10:21:00,1,"Collision with vehicle",7,"Saturday",2,"T intersection","070",2,"13","Bicycle","MAROONDAH","MAROONDAH",-37.80152222,145.2579571,3135,"MT DANDENONG","ROAD","ROAD",0,2017,"Serious injury accident"
"319105","T20170011384",2017-06-10,16:05:00,1,"Collision with vehicle",6,"Saturday",2,"T intersection","050",3,"13","Bicycle","MORNINGTON PENINSULA","MORNINGTON PENINSULA",-38.39062861,144.7923318,3941,"MARCIA","AVENUE","DRIVE",0,2017,"Other injury accident"
"319117","T20170011399",2017-06-10,21:15:00,1,"Collision with vehicle",7,"Saturday",2,"T intersection","080",3,"13","Bicycle","CASEY","CASEY",-38.08706809,145.2786802,3977,"SOUTH GIPPSLAND","HIGHWAY","AVENUE",0,2017,"Other injury accident"
"319127","T20170011417",2017-06-11,07:20:00,1,"Collision with vehicle",0,"Sunday",2,"T intersection","060",3,"13","Bicycle","KINGSTON","KINGSTON",-38.06874718,145.1209917,3196,"BREEZE","STREET","STREET",0,2017,"Other injury accident"
"319179","T20170011475",2017-06-12,08:10:00,8,"No collision and no object struck",2,"Monday",2,"T intersection","060",2,"13","Bicycle","KINGSTON","KINGSTON",-38.00071065,145.0767157,3195,"BEACH","ROAD","STREET",0,2017,"Serious injury accident"
"319197","T20170011496",2017-06-12,10:30:00,1,"Collision with vehicle",2,"Monday",5,"Not at intersection","090",2,"13","Bicycle","MACEDON RANGES","MACEDON RANGES",-37.44168869,144.5667425,3440,"MACEDON-WOODEND","ROAD","LANE",1149,2017,"Serious injury accident"
"319198","T20170011496",2017-06-12,10:30:00,1,"Collision with vehicle",2,"Monday",5,"Not at intersection","090",2,"13","Bicycle","MACEDON RANGES","MACEDON RANGES",-37.44168869,144.5667425,3440,"MACEDON-WOODEND","ROAD","LANE",1149,2017,"Serious injury accident"
"319200","T20170011496",2017-06-12,10:30:00,1,"Collision with vehicle",2,"Monday",5,"Not at intersection","090",2,"13","Bicycle","MACEDON RANGES","MACEDON RANGES",-37.44168869,144.5667425,3440,"MACEDON-WOODEND","ROAD","LANE",1149,2017,"Serious injury accident"
"319207","T20170011500",2017-06-12,15:00:00,1,"Collision with vehicle",1,"Monday",2,"T intersection","050",3,"13","Bicycle","SHEPPARTON","SHEPPARTON",-36.38400497,145.4126655,3630,"ARCHER","STREET","STREET",0,2017,"Other injury accident"
"319226","T20170011513",2017-06-12,16:50:00,1,"Collision with vehicle",2,"Monday",2,"T intersection","080",2,"13","Bicycle","BENDIGO","BENDIGO",-36.70275616,144.2971357,3551,"HOWARD","STREET","ROAD",0,2017,"Serious injury accident"
"319230","T20170011519",2017-06-10,13:40:00,1,"Collision with vehicle",7,"Saturday",2,"T intersection","060",3,"13","Bicycle","MACEDON RANGES","MACEDON RANGES",-37.34824221,144.5353041,3442,"ROMSEY","ROAD","STREET",0,2017,"Other injury accident"
"319244","T20170011541",2017-06-07,17:30:00,1,"Collision with vehicle",3,"Wednesday",5,"Not at intersection","050",3,"13","Bicycle","YARRA RANGES","YARRA RANGES",-37.75689953,145.3262803,3116,"COUNTRY CLUB","DRIVE","DRIVE",24,2017,"Other injury accident"
"319252","T20170011552",2017-06-13,12:15:00,1,"Collision with vehicle",3,"Tuesday",5,"Not at intersection","040",3,"13","Bicycle","STONNINGTON","STONNINGTON",-37.85438023,144.9928919,3181,"CHAPEL","STREET","STREET",36,2017,"Other injury accident"
